Connecting to port  12361
Filling queue with 20000 CIFAR images before starting to train. This will take a few minutes.
Received variable values from ps
2017-05-07 20:12:37.672248: step 0, loss = 4.67 (80.7 examples/sec; 1.585 sec/batch)
2017-05-07 20:13:32.808626: step 440, loss = 2.98 (986.6 examples/sec; 0.130 sec/batch)
2017-05-07 20:13:34.081063: step 450, loss = 2.87 (1005.9 examples/sec; 0.127 sec/batch)
2017-05-07 20:13:35.359130: step 460, loss = 2.70 (1001.5 examples/sec; 0.128 sec/batch)
2017-05-07 20:13:36.645293: step 470, loss = 2.94 (995.2 examples/sec; 0.129 sec/batch)
2017-05-07 20:13:37.895480: step 480, loss = 3.01 (1023.8 examples/sec; 0.125 sec/batch)
2017-05-07 20:13:39.188163: step 490, loss = 2.94 (990.2 examples/sec; 0.129 sec/batch)
2017-05-07 20:13:40.559985: step 500, loss = 2.74 (933.1 examples/sec; 0.137 sec/batch)
2017-05-07 20:13:41.735112: step 510, loss = 2.86 (1089.2 examples/sec; 0.118 sec/batch)
2017-05-07 20:13:43.040153: step 520, loss = 2.61 (980.8 examples/sec; 0.131 sec/batch)
2017-05-07 20:13:44.291188: step 530, loss = 2.65 (1023.1 examples/sec; 0.125 sec/batch)
2017-05-07 20:13:45.577717: step 540, loss = 2.66 (994.9 examples/sec; 0.129 sec/batch)
2017-05-07 20:13:46.844107: step 550, loss = 2.60 (1010.7 examples/sec; 0.127 sec/batch)
2017-05-07 20:13:48.122277: step 560, loss = 2.97 (1001.4 examples/sec; 0.128 sec/batch)
2017-05-07 20:13:49.409925: step 570, loss = 2.63 (994.1 examples/sec; 0.129 sec/batch)
2017-05-07 20:13:50.701320: step 580, loss = 2.66 (991.2 examples/sec; 0.129 sec/batch)
2017-05-07 20:13:51.995533: step 590, loss = 2.62 (989.0 examples/sec; 0.129 sec/batch)
2017-05-07 20:13:53.370637: step 600, loss = 2.58 (930.8 examples/sec; 0.138 sec/batch)
2017-05-07 20:13:54.552444: step 610, loss = 2.66 (1083.1 examples/sec; 0.118 sec/batch)
2017-05-07 20:13:55.865213: step 620, loss = 2.73 (975.0 examples/sec; 0.131 sec/batch)
2017-05-07 20:13:57.151793: step 630, loss = 2.78 (994.9 examples/sec; 0.129 sec/batch)
2017-05-07 20:13:58.435607: step 640, loss = 2.58 (997.0 examples/sec; 0.128 sec/batch)
2017-05-07 20:13:59.721199: step 650, loss = 2.50 (995.7 examples/sec; 0.129 sec/batch)
2017-05-07 20:14:00.984565: step 660, loss = 2.52 (1013.2 examples/sec; 0.126 sec/batch)
2017-05-07 20:14:02.233139: step 670, loss = 2.34 (1025.2 examples/sec; 0.125 sec/batch)
2017-05-07 20:14:03.523098: step 680, loss = 2.19 (992.3 examples/sec; 0.129 sec/batch)
2017-05-07 20:14:04.825197: step 690, loss = 2.39 (983.0 examples/sec; 0.130 sec/batch)
2017-05-07 20:14:06.193039: step 700, loss = 2.31 (935.8 examples/sec; 0.137 sec/batch)
2017-05-07 20:14:07.399829: step 710, loss = 2.27 (1060.7 examples/sec; 0.121 sec/batch)
2017-05-07 20:14:08.702387: step 720, loss = 2.33 (982.7 examples/sec; 0.130 sec/batch)
2017-05-07 20:14:09.972405: step 730, loss = 2.40 (1007.9 examples/sec; 0.127 sec/batch)
2017-05-07 20:14:11.243760: step 740, loss = 2.16 (1006.8 examples/sec; 0.127 sec/batch)
2017-05-07 20:14:12.507012: step 750, loss = 2.39 (1013.3 examples/sec; 0.126 sec/batch)
2017-05-07 20:14:13.776241: step 760, loss = 2.28 (1008.5 examples/sec; 0.127 sec/batch)
2017-05-07 20:14:15.069914: step 770, loss = 2.29 (989.4 examples/sec; 0.129 sec/batch)
2017-05-07 20:14:16.341697: step 780, loss = 2.29 (1006.5 examples/sec; 0.127 sec/batch)
2017-05-07 20:14:17.603320: step 790, loss = 2.55 (1014.6 examples/sec; 0.126 sec/batch)
2017-05-07 20:14:18.985677: step 800, loss = 2.06 (926.0 examples/sec; 0.138 sec/batch)
2017-05-07 20:14:20.192872: step 810, loss = 2.16 (1060.3 examples/sec; 0.121 sec/batch)
2017-05-07 20:14:21.500000: step 820, loss = 2.12 (979.3 examples/sec; 0.131 sec/batch)
2017-05-07 20:14:22.763184: step 830, loss = 2.28 (1013.3 examples/sec; 0.126 sec/batch)
2017-05-07 20:14:24.045063: step 840, loss = 2.09 (998.5 examples/sec; 0.128 sec/batch)
2017-05-07 20:14:25.315752: step 850, loss = 1.95 (1007.3 examples/sec; 0.127 sec/batch)
2017-05-07 20:14:26.595601: step 860, loss = 2.16 (1000.1 examples/sec; 0.128 sec/batch)
2017-05-07 20:14:27.866708: step 870, loss = 2.34 (1007.0 examples/sec; 0.127 sec/batch)
2017-05-07 20:14:29.131078: step 880, loss = 2.22 (1012.4 examples/sec; 0.126 sec/batch)
2017-05-07 20:14:30.398911: step 890, loss = 2.07 (1009.6 examples/sec; 0.127 sec/batch)
2017-05-07 20:14:31.765396: step 900, loss = 2.09 (936.7 examples/sec; 0.137 seE tensorflow/core/util/events_writer.cc:162] The events file /tmp/cifar10_train/events.out.tfevents.1494202341.GHC33.GHC.ANDREW.CMU.EDU has disappeared.
E tensorflow/core/util/events_writer.cc:131] Failed to flush 23 events to /tmp/cifar10_train/events.out.tfevents.1494202341.GHC33.GHC.ANDREW.CMU.EDU
c/batch)
2017-05-07 20:14:32.942054: step 910, loss = 1.95 (1087.8 examples/sec; 0.118 sec/batch)
2017-05-07 20:14:34.205324: step 920, loss = 1.98 (1013.2 examples/sec; 0.126 sec/batch)
2017-05-07 20:14:35.477135: step 930, loss = 1.98 (1006.4 examples/sec; 0.127 sec/batch)
2017-05-07 20:14:36.750590: step 940, loss = 1.98 (1005.1 examples/sec; 0.127 sec/batch)
2017-05-07 20:14:37.985889: step 950, loss = 2.08 (1036.2 examples/sec; 0.124 sec/batch)
2017-05-07 20:14:39.287720: step 960, loss = 2.03 (983.2 examples/sec; 0.130 sec/batch)
2017-05-07 20:14:40.587510: step 970, loss = 1.82 (984.8 examples/sec; 0.130 sec/batch)
2017-05-07 20:14:41.859192: step 980, loss = 2.19 (1006.5 examples/sec; 0.127 sec/batch)
2017-05-07 20:14:43.176011: step 990, loss = 2.05 (972.1 examples/sec; 0.132 sec/batch)
2017-05-07 20:14:44.542273: step 1000, loss = 1.82 (936.8 examples/sec; 0.137 sec/batch)
2017-05-07 20:14:45.710456: step 1010, loss = 1.92 (1095.7 examples/sec; 0.117 sec/batch)
2017-05-07 20:14:47.003441: step 1020, loss = 2.09 (990.0 examples/sec; 0.129 sec/batch)
2017-05-07 20:14:48.283678: step 1030, loss = 1.87 (999.8 examples/sec; 0.128 sec/batch)
2017-05-07 20:14:49.561788: step 1040, loss = 1.87 (1001.5 examples/sec; 0.128 sec/batch)
2017-05-07 20:14:50.858343: step 1050, loss = 1.93 (987.2 examples/sec; 0.130 sec/batch)
2017-05-07 20:14:52.169585: step 1060, loss = 1.99 (976.2 examples/sec; 0.131 sec/batch)
2017-05-07 20:14:53.446653: step 1070, loss = 1.81 (1002.3 examples/sec; 0.128 sec/batch)
2017-05-07 20:14:54.714019: step 1080, loss = 1.87 (1010.0 examples/sec; 0.127 sec/batch)
2017-05-07 20:14:55.999836: step 1090, loss = 2.06 (995.5 examples/sec; 0.129 sec/batch)
2017-05-07 20:14:57.366427: step 1100, loss = 1.84 (936.6 examples/sec; 0.137 sec/batch)
2017-05-07 20:14:58.534079: step 1110, loss = 1.64 (1096.2 examples/sec; 0.117 sec/batch)
2017-05-07 20:14:59.818355: step 1120, loss = 1.94 (996.7 examples/sec; 0.128 sec/batch)
2017-05-07 20:15:01.107910: step 1130, loss = 2.10 (992.6 examples/sec; 0.129 sec/batch)
2017-05-07 20:15:02.378597: step 1140, loss = 1.82 (1007.3 examples/sec; 0.127 sec/batch)
2017-05-07 20:15:03.648726: step 1150, loss = 1.81 (1007.8 examples/sec; 0.127 sec/batch)
2017-05-07 20:15:04.986470: step 1160, loss = 1.70 (956.8 examples/sec; 0.134 sec/batch)
2017-05-07 20:15:06.278329: step 1170, loss = 1.99 (990.8 examples/sec; 0.129 sec/batch)
2017-05-07 20:15:07.573361: step 1180, loss = 1.88 (988.4 examples/sec; 0.130 sec/batch)
2017-05-07 20:15:08.876959: step 1190, loss = 1.94 (981.9 examples/sec; 0.130 sec/batch)
2017-05-07 20:15:10.286709: step 1200, loss = 1.72 (908.0 examples/sec; 0.141 sec/batch)
2017-05-07 20:15:11.476433: step 1210, loss = 1.89 (1075.9 examples/sec; 0.119 sec/batch)
2017-05-07 20:15:12.748948: step 1220, loss = 1.73 (1005.9 examples/sec; 0.127 sec/batch)
2017-05-07 20:15:14.017004: step 1230, loss = 1.83 (1009.4 examples/sec; 0.127 sec/batch)
2017-05-07 20:15:15.295101: step 1240, loss = 1.71 (1001.5 examples/sec; 0.128 sec/batch)
2017-05-07 20:15:16.590093: step 1250, loss = 1.72 (988.4 examples/sec; 0.129 sec/batch)
2017-05-07 20:15:17.912056: step 1260, loss = 1.80 (968.3 examples/sec; 0.132 sec/batch)
2017-05-07 20:15:19.214748: step 1270, loss = 1.80 (982.6 examples/sec; 0.130 sec/batch)
2017-05-07 20:15:20.498585: step 1280, loss = 1.65 (997.0 examples/sec; 0.128 sec/batch)
2017-05-07 20:15:21.800050: step 1290, loss = 1.75 (983.5 examples/sec; 0.130 sec/batch)
2017-05-07 20:15:23.191204: step 1300, loss = 2.07 (920.1 examples/sec; 0.139 sec/batch)
2017-05-07 20:15:24.390529: step 1310, loss = 1.65 (1067.3 examples/sec; 0.120 sec/batch)
2017-05-07 20:15:25.670631: step 1320, loss = 1.77 (999.9 examples/sec; 0.128 sec/batch)
2017-05-07 20:15:26.961585: step 1330, loss = 1.56 (991.5 examples/sec; 0.129 sec/batch)
2017-05-07 20:15:28.258859: step 1340, loss = 2.03 (986.7 examples/sec; 0.130 sec/batch)
2017-05-07 20:15:29.521032: step 1350, loss = 1.60 (1014.1 examples/sec; 0.126 sec/batch)
2017-05-07 20:15:30.824551: step 1360, loss = 1.71 (981.9 examples/sec; 0.130 sec/batch)
2017-05-07 20:15:32.107720: step 1370, loss = 1.61 (997.5 examples/sec; 0.128 sec/batch)
2017-05-07 20:15:33.380538: step 1380, loss = 2.02 (1005.6 examples/sec; 0.127 sec/batch)
2017-05-07 20:15:34.652094: step 1390, loss = 1.54 (1006.6 examples/sec; 0.127 sec/batch)
2017-05-07 20:15:36.016722: step 1400, loss = 1.44 (938.0 examples/sec; 0.136 sec/batch)
2017-05-07 20:15:37.182665: step 1410, loss = 1.33 (1097.8 examples/sec; 0.117 sec/batch)
2017-05-07 20:15:38.483332: step 1420, loss = 1.44 (984.1 examples/sec; 0.130 sec/batch)
2017-05-07 20:15:39.771819: step 1430, loss = 1.70 (993.4 examples/sec; 0.129 sec/batch)
2017-05-07 20:15:41.108559: step 1440, loss = 1.76 (957.6 examples/sec; 0.134 sec/batch)
2017-05-07 20:15:42.364953: step 1450, loss = 1.39 (1018.8 examples/sec; 0.126 sec/batch)
2017-05-07 20:15:43.668415: step 1460, loss = 1.65 (982.0 examples/sec; 0.130 sec/batch)
2017-05-07 20:15:44.972110: step 1470, loss = 1.86 (981.8 examples/sec; 0.130 sec/batch)
2017-05-07 20:15:46.285412: step 1480, loss = 1.64 (974.6 examples/sec; 0.131 sec/batch)
2017-05-07 20:15:47.573497: step 1490, loss = 1.37 (993.7 examples/sec; 0.129 sec/batch)
2017-05-07 20:15:48.977714: step 1500, loss = 1.53 (911.5 examples/sec; 0.140 sec/batch)
2017-05-07 20:15:50.148001: step 1510, loss = 1.61 (1093.8 examples/sec; 0.117 sec/batch)
2017-05-07 20:15:51.426357: step 1520, loss = 1.30 (1001.3 examples/sec; 0.128 sec/batch)
2017-05-07 20:15:52.691155: step 1530, loss = 1.54 (1012.0 examples/sec; 0.126 sec/batch)
2017-05-07 20:15:53.960845: step 1540, loss = 1.53 (1008.1 examples/sec; 0.127 sec/batch)
2017-05-07 20:15:55.242812: step 1550, loss = 1.58 (998.5 examples/sec; 0.128 sec/batch)
2017-05-07 20:15:56.531466: step 1560, loss = 1.47 (993.3 examples/sec; 0.129 sec/batch)
2017-05-07 20:15:57.790835: step 1570, loss = 1.38 (1016.4 examples/sec; 0.126 sec/batch)
2017-05-07 20:15:59.067181: step 1580, loss = 1.57 (1002.9 examples/sec; 0.128 sec/batch)
2017-05-07 20:16:00.339545: step 1590, loss = 1.27 (1006.0 examples/sec; 0.127 sec/batch)
2017-05-07 20:16:01.707723: step 1600, loss = 1.42 (935.5 examples/sec; 0.137 sec/batch)
2017-05-07 20:16:02.862221: step 1610, loss = 1.35 (1108.7 examples/sec; 0.115 sec/batch)
2017-05-07 20:16:04.166012: step 1620, loss = 1.51 (981.8 examples/sec; 0.130 sec/batch)
2017-05-07 20:16:05.471449: step 1630, loss = 1.78 (980.5 examples/sec; 0.131 sec/batch)
2017-05-07 20:16:06.771198: step 1640, loss = 1.64 (984.8 examples/sec; 0.130 sec/batch)
2017-05-07 20:16:08.082445: step 1650, loss = 1.55 (976.2 examples/sec; 0.131 sec/batch)
2017-05-07 20:16:09.354840: step 1660, loss = 1.52 (1006.0 examples/sec; 0.127 sec/batch)
2017-05-07 20:16:10.636927: step 1670, loss = 1.46 (998.4 examples/sec; 0.128 sec/batch)
2017-05-07 20:16:11.917618: step 1680, loss = 1.36 (999.5 examples/sec; 0.128 sec/batch)
2017-05-07 20:16:13.215343: step 1690, loss = 1.56 (986.3 examples/sec; 0.130 sec/batch)
2017-05-07 20:16:14.581185: step 1700, loss = 1.37 (937.1 examples/sec; 0.137 sec/batch)
2017-05-07 20:16:15.754441: step 1710, loss = 1.47 (1091.0 examples/sec; 0.117 sec/batch)
2017-05-07 20:16:17.025443: step 1720, loss = 1.47 (1007.2 examples/sec; 0.127 sec/batch)
2017-05-07 20:16:18.316958: step 1730, loss = 1.26 (990.9 examples/sec; 0.129 sec/batch)
2017-05-07 20:16:19.623699: step 1740, loss = 1.59 (979.5 examples/sec; 0.131 sec/batch)
2017-05-07 20:16:20.943821: step 1750, loss = 1.40 (969.6 examples/sec; 0.132 sec/batch)
2017-05-07 20:16:22.229904: step 1760, loss = 1.28 (995.3 examples/sec; 0.129 sec/batch)
2017-05-07 20:16:23.497845: step 1770, loss = 1.41 (1009.5 examples/sec; 0.127 sec/batch)
2017-05-07 20:16:24.789800: step 1780, loss = 1.52 (990.7 examples/sec; 0.129 sec/batch)
2017-05-07 20:16:26.099462: step 1790, loss = 1.53 (977.3 examples/sec; 0.131 sec/batch)
2017-05-07 20:16:27.462620: step 1800, loss = 1.26 (939.0 examples/sec; 0.136 sec/batch)
2017-05-07 20:16:28.680556: step 1810, loss = 1.49 (1051.0 examples/sec; 0.122 sec/batch)
2017-05-07 20:16:29.975747: step 1820, loss = 1.34 (988.3E tensorflow/core/util/events_writer.cc:162] The events file /tmp/cifar10_train/events.out.tfevents.1494202341.GHC33.GHC.ANDREW.CMU.EDU has disappeared.
E tensorflow/core/util/events_writer.cc:131] Failed to flush 43 events to /tmp/cifar10_train/events.out.tfevents.1494202341.GHC33.GHC.ANDREW.CMU.EDU
 examples/sec; 0.130 sec/batch)
2017-05-07 20:16:31.260540: step 1830, loss = 1.40 (996.3 examples/sec; 0.128 sec/batch)
2017-05-07 20:16:32.548534: step 1840, loss = 1.52 (993.8 examples/sec; 0.129 sec/batch)
2017-05-07 20:16:33.822409: step 1850, loss = 1.37 (1004.8 examples/sec; 0.127 sec/batch)
2017-05-07 20:16:35.093572: step 1860, loss = 1.35 (1007.0 examples/sec; 0.127 sec/batch)
2017-05-07 20:16:36.373423: step 1870, loss = 1.30 (1000.1 examples/sec; 0.128 sec/batch)
2017-05-07 20:16:37.632021: step 1880, loss = 1.25 (1017.0 examples/sec; 0.126 sec/batch)
2017-05-07 20:16:38.919791: step 1890, loss = 1.17 (994.0 examples/sec; 0.129 sec/batch)
2017-05-07 20:16:40.302830: step 1900, loss = 1.59 (925.5 examples/sec; 0.138 sec/batch)
2017-05-07 20:16:41.500210: step 1910, loss = 1.51 (1069.0 examples/sec; 0.120 sec/batch)
2017-05-07 20:16:42.767282: step 1920, loss = 1.44 (1010.2 examples/sec; 0.127 sec/batch)
2017-05-07 20:16:44.042823: step 1930, loss = 1.41 (1003.5 examples/sec; 0.128 sec/batch)
2017-05-07 20:16:45.334857: step 1940, loss = 1.25 (990.7 examples/sec; 0.129 sec/batch)
2017-05-07 20:16:46.622077: step 1950, loss = 1.45 (994.4 examples/sec; 0.129 sec/batch)
2017-05-07 20:16:47.923131: step 1960, loss = 1.51 (983.8 examples/sec; 0.130 sec/batch)
2017-05-07 20:16:49.202329: step 1970, loss = 1.73 (1000.6 examples/sec; 0.128 sec/batch)
2017-05-07 20:16:50.471169: step 1980, loss = 1.48 (1008.8 examples/sec; 0.127 sec/batch)
2017-05-07 20:16:51.739943: step 1990, loss = 1.17 (1008.8 examples/sec; 0.127 sec/batch)
2017-05-07 20:16:53.140549: step 2000, loss = 1.49 (913.9 examples/sec; 0.140 sec/batch)
2017-05-07 20:16:54.331911: step 2010, loss = 1.39 (1074.4 examples/sec; 0.119 sec/batch)
2017-05-07 20:16:55.581032: step 2020, loss = 1.37 (1024.7 examples/sec; 0.125 sec/batch)
2017-05-07 20:16:56.856309: step 2030, loss = 1.20 (1003.7 examples/sec; 0.128 sec/batch)
2017-05-07 20:16:58.120331: step 2040, loss = 1.42 (1012.7 examples/sec; 0.126 sec/batch)
2017-05-07 20:16:59.420075: step 2050, loss = 1.28 (984.8 examples/sec; 0.130 sec/batch)
2017-05-07 20:17:00.692020: step 2060, loss = 1.22 (1006.3 examples/sec; 0.127 sec/batch)
2017-05-07 20:17:01.956365: step 2070, loss = 1.26 (1012.4 examples/sec; 0.126 sec/batch)
2017-05-07 20:17:03.261527: step 2080, loss = 1.14 (980.7 examples/sec; 0.131 sec/batch)
2017-05-07 20:17:04.534423: step 2090, loss = 1.49 (1005.6 examples/sec; 0.127 sec/batch)
2017-05-07 20:17:05.897833: step 2100, loss = 1.34 (938.8 examples/sec; 0.136 sec/batch)
2017-05-07 20:17:07.097235: step 2110, loss = 1.08 (1067.2 examples/sec; 0.120 sec/batch)
2017-05-07 20:17:08.380725: step 2120, loss = 1.33 (997.3 examples/sec; 0.128 sec/batch)
2017-05-07 20:17:09.642459: step 2130, loss = 1.14 (1014.5 examples/sec; 0.126 sec/batch)
2017-05-07 20:17:10.922149: step 2140, loss = 1.05 (1000.2 examples/sec; 0.128 sec/batch)
2017-05-07 20:17:12.184533: step 2150, loss = 1.20 (1013.9 examples/sec; 0.126 sec/batch)
2017-05-07 20:17:13.468805: step 2160, loss = 1.41 (996.7 examples/sec; 0.128 sec/batch)
2017-05-07 20:17:14.773511: step 2170, loss = 1.16 (981.1 examples/sec; 0.130 sec/batch)
2017-05-07 20:17:16.081735: step 2180, loss = 1.40 (978.4 examples/sec; 0.131 sec/batch)
2017-05-07 20:17:17.360303: step 2190, loss = 1.19 (1001.1 examples/sec; 0.128 sec/batch)
2017-05-07 20:17:18.721593: step 2200, loss = 1.22 (940.3 examples/sec; 0.136 sec/batch)
2017-05-07 20:17:19.906714: step 2210, loss = 1.16 (1080.1 examples/sec; 0.119 sec/batch)
2017-05-07 20:17:21.176311: step 2220, loss = 1.28 (1008.2 examples/sec; 0.127 sec/batch)
2017-05-07 20:17:22.442831: step 2230, loss = 1.21 (1010.6 examples/sec; 0.127 sec/batch)
2017-05-07 20:17:23.728051: step 2240, loss = 1.08 (995.9 examples/sec; 0.129 sec/batch)
2017-05-07 20:17:25.020286: step 2250, loss = 1.39 (990.5 examples/sec; 0.129 sec/batch)
2017-05-07 20:17:26.323114: step 2260, loss = 1.39 (982.5 examples/sec; 0.130 sec/batch)
2017-05-07 20:17:27.609738: step 2270, loss = 1.34 (994.9 examples/sec; 0.129 sec/batch)
2017-05-07 20:17:28.892149: step 2280, loss = 1.36 (998.1 examples/sec; 0.128 sec/batch)
2017-05-07 20:17:30.176332: step 2290, loss = 1.49 (996.7 examples/sec; 0.128 sec/batch)
2017-05-07 20:17:31.560062: step 2300, loss = 1.35 (925.0 examples/sec; 0.138 sec/batch)
2017-05-07 20:17:32.775657: step 2310, loss = 1.22 (1053.0 examples/sec; 0.122 sec/batch)
2017-05-07 20:17:34.069212: step 2320, loss = 1.13 (989.5 examples/sec; 0.129 sec/batch)
2017-05-07 20:17:35.378624: step 2330, loss = 1.35 (977.5 examples/sec; 0.131 sec/batch)
2017-05-07 20:17:36.665856: step 2340, loss = 1.12 (994.4 examples/sec; 0.129 sec/batch)
2017-05-07 20:17:37.986469: step 2350, loss = 1.34 (969.2 examples/sec; 0.132 sec/batch)
2017-05-07 20:17:39.298129: step 2360, loss = 1.31 (975.9 examples/sec; 0.131 sec/batch)
2017-05-07 20:17:40.572563: step 2370, loss = 1.16 (1004.4 examples/sec; 0.127 sec/batch)
2017-05-07 20:17:41.847584: step 2380, loss = 1.21 (1003.9 examples/sec; 0.128 sec/batch)
2017-05-07 20:17:43.140288: step 2390, loss = 1.24 (990.2 examples/sec; 0.129 sec/batch)
2017-05-07 20:17:44.505143: step 2400, loss = 1.11 (937.8 examples/sec; 0.136 sec/batch)
2017-05-07 20:17:45.676788: step 2410, loss = 1.20 (1092.5 examples/sec; 0.117 sec/batch)
2017-05-07 20:17:46.945864: step 2420, loss = 1.17 (1008.6 examples/sec; 0.127 sec/batch)
2017-05-07 20:17:48.214304: step 2430, loss = 1.18 (1009.1 examples/sec; 0.127 sec/batch)
2017-05-07 20:17:49.503246: step 2440, loss = 1.20 (993.1 examples/sec; 0.129 sec/batch)
2017-05-07 20:17:50.791533: step 2450, loss = 1.36 (993.6 examples/sec; 0.129 sec/batch)
2017-05-07 20:17:52.056560: step 2460, loss = 1.20 (1011.8 examples/sec; 0.127 sec/batch)
2017-05-07 20:17:53.344682: step 2470, loss = 1.72 (993.7 examples/sec; 0.129 sec/batch)
2017-05-07 20:17:54.636537: step 2480, loss = 1.40 (990.8 examples/sec; 0.129 sec/batch)
2017-05-07 20:17:55.916044: step 2490, loss = 1.24 (1000.4 examples/sec; 0.128 sec/batch)
2017-05-07 20:17:57.301698: step 2500, loss = 1.30 (923.8 examples/sec; 0.139 sec/batch)
2017-05-07 20:17:58.485496: step 2510, loss = 1.28 (1081.3 examples/sec; 0.118 sec/batch)
2017-05-07 20:17:59.757033: step 2520, loss = 1.34 (1006.7 examples/sec; 0.127 sec/batch)
2017-05-07 20:18:01.062767: step 2530, loss = 1.26 (980.3 examples/sec; 0.131 sec/batch)
2017-05-07 20:18:02.312053: step 2540, loss = 1.29 (1024.6 examples/sec; 0.125 sec/batch)
2017-05-07 20:18:03.577265: step 2550, loss = 1.28 (1011.7 examples/sec; 0.127 sec/batch)
2017-05-07 20:18:04.865378: step 2560, loss = 1.42 (993.7 examples/sec; 0.129 sec/batch)
2017-05-07 20:18:06.155368: step 2570, loss = 1.33 (992.2 examples/sec; 0.129 sec/batch)
2017-05-07 20:18:07.409397: step 2580, loss = 1.27 (1020.7 examples/sec; 0.125 sec/batch)
